headline,is_sarcastic
OM onderzoekt rol van drugsverdachte 'Piet Costa' bij verdwijning Naima Jillal,0
Mogelijk duizenden mensen missen diagnose door uitstel reguliere zorg,0
SCP: 'Mensen met verstandelijke beperking doen minder mee in samenleving',0
Weerbericht: Grotendeels bewolkt met op meerdere plaatsen motregen,0
Douane onderschept 421 kilo cocaïne tussen hulpmiddelen en bananen,0
"Belg met 1,2 miljoen euro opgepakt na poging agent in Den Haag aan te rijden",0
Huisartsen hebben twijfels over logistiek Pfizer-vaccin vanaf 4 januari,0
"Drie supermarktmedewerkers gewond bij steekpartij Den Haag, verdachte vast",0
"RIVM meldt 4.942 positieve coronatests, iets meer dan gemiddeld (4.850)",0
"Twee personen neergestoken in Haagse supermarkt, verdachte op de vlucht",0
Achterstand in strafrecht als gevolg van coronacrisis eind 2021 weggewerkt,0
Elf arrestaties in onderzoek naar invoer cocaïne via Rotterdam en Antwerpen,0
Overvallers rammen supermarkt in Haarlem met bestelbusje,0
Een op de vier rechthebbenden loopt aanvullende beurs voor studie mis,0
Weerbericht: Bewolkte en grijze decemberdag,0
Antwoorden op jullie vragen over de mondkapjesplicht,0
Zorgorganisaties verwachten niet dat begin januari al gevaccineerd kan worden,0
Kamer schaart zich achter Buba; oud-circusolifant mag in Nederland blijven,0
Mogelijk honderd skeletten in ontdekt middeleeuws massagraf Vianen,0
Politie schiet man neer die brandbommen gooit naar agenten in Rheden,0
De Jonge: Als alles meezit gaat vaccinatie in de week van 4 januari van start,0
18 jaar cel voor doorzeven Rotterdammer met kogels na vriendschapsverzoek,0
Aantal positieve coronatests (33.949) iets gedaald ten opzichte van vorige week,0
Poederbrief aangetroffen bij waterschap in Zwolle,0
"RIVM meldt 4.942 positieve coronatests, iets meer dan gemiddeld (4.850)",0
"Twee personen neergestoken in Haagse supermarkt, verdachte op de vlucht",0
Achterstand in strafrecht als gevolg van coronacrisis eind 2021 weggewerkt,0
Elf arrestaties in onderzoek naar invoer cocaïne via Rotterdam en Antwerpen,0
Overvallers rammen supermarkt in Haarlem met bestelbusje,0
Een op de vier rechthebbenden loopt aanvullende beurs voor studie mis,0
Weerbericht: Bewolkte en grijze decemberdag,0
Antwoorden op jullie vragen over de mondkapjesplicht,0
Zorgorganisaties verwachten niet dat begin januari al gevaccineerd kan worden,0
Kamer schaart zich achter Buba; oud-circusolifant mag in Nederland blijven,0
Mogelijk honderd skeletten in ontdekt middeleeuws massagraf Vianen,0
Politie schiet man neer die brandbommen gooit naar agenten in Rheden,0
De Jonge: Als alles meezit gaat vaccinatie in de week van 4 januari van start,0
18 jaar cel voor doorzeven Rotterdammer met kogels na vriendschapsverzoek,0
Aantal positieve coronatests (33.949) iets gedaald ten opzichte van vorige week,0
Poederbrief aangetroffen bij waterschap in Zwolle,0
Vrouw krijgt opnieuw 20 jaar cel voor moord op echtgenoot in Fries weiland,0
Boa's nog niet klaar om deze week mondkapjesboetes uit te delen,0
"Grapperhaus keurt lid euthanasiecommissie af, D66 en VVD willen uitleg",0
Rijkswaterstaat laat dode dwergvinvis op Rottumerplaat vergaan,0
Politieauto belandt in greppel na wilde achtervolging in Twente,0
Na bericht van GGD of corona-app mag je je ook zonder klachten laten testen,0
"Weerbericht: Buien met kans op hagel, in de middag geleidelijk droger",0
De mondkapjesplicht is een feit: hier kom je niet meer in zonder mondmasker,0
Defensie laat compensatieregeling chroom-6 opnieuw onderzoeken,0
'Ministerie wees in april aanbod uitbreiding testcapaciteit door laboratoria af',0
Bruls: Winkeliers zelf verantwoordelijk voor handhaving mondkapjesplicht,0
Zo voorkom je dat je bril beslaat als je een mondkapje ophebt,0
Universiteit Leiden onderzoekt beschuldigingen van antisemitisme,0
Schouten: Op nog maar vier Nederlandse bedrijven zijn nertsen aanwezig,0
Excuses door kabinet en financiële compensatie voor oude Transgenderwet,0
Kuipers positief over coronavaccin: 'Uitzonderlijke prestatie',0
Vrouw krijgt opnieuw 20 jaar cel voor moord op echtgenoot in Fries weiland,0
Boa's nog niet klaar om deze week mondkapjesboetes uit te delen,0
"Grapperhaus keurt lid euthanasiecommissie af, D66 en VVD willen uitleg",0
Rijkswaterstaat laat dode dwergvinvis op Rottumerplaat vergaan,0
Politieauto belandt in greppel na wilde achtervolging in Twente,0
Na bericht van GGD of corona-app mag je je ook zonder klachten laten testen,0
"Weerbericht: Buien met kans op hagel, in de middag geleidelijk droger",0
De mondkapjesplicht is een feit: hier kom je niet meer in zonder mondmasker,0
Defensie laat compensatieregeling chroom-6 opnieuw onderzoeken,0
'Ministerie wees in april aanbod uitbreiding testcapaciteit door laboratoria af',0
Bruls: Winkeliers zelf verantwoordelijk voor handhaving mondkapjesplicht,0
Zo voorkom je dat je bril beslaat als je een mondkapje ophebt,0
Universiteit Leiden onderzoekt beschuldigingen van antisemitisme,0
Schouten: Op nog maar vier Nederlandse bedrijven zijn nertsen aanwezig,0
Excuses door kabinet en financiële compensatie voor oude Transgenderwet,0
Kuipers positief over coronavaccin: 'Uitzonderlijke prestatie',0
Kuipers geeft update over coronasituatie in ziekenhuizen,0
"RIVM meldt 4.610 positieve coronatests, minder dan gemiddeld (4.912)",0
Bij deur Woensdrechtse burgemeester ontploft object had kracht van granaat,0
Dertig jaar cel voor 'gewetenloze' liquidatie en serie aanslagen in Brabant,0
Ouders van vermoorde Laura Korsman willen onderzoek naar rol politie,0
Groningen uitgeroepen tot gezondste stad van Nederland,0
Tientallen treinen in regio Utrecht uitgevallen door zieke verkeersleider,0
Hof legt straffen tot vijftien jaar op voor doden oudere vrouw bij overval,0
Weerbericht: KNMI waarschuwt voor gladheid in hele land,0
"Eerste officiële vorst van het najaar gemeten: -0,2 graden in De Bilt",0
Aantal gemelde positieve tests (5.609) groter dan daggemiddelde (4.906),0
Aboutaleb: Burgemeesters in Veiligheidsberaad wilden verbod Black Friday,0
Weekweerbericht: Bewolking en kille temperaturen overheersen,0
Vuurwerkbom bij huis burgemeester Woensdrecht mogelijk bewuste aanval,0
Fotoalbum met kinderfoto's van verzetsheldin Hannie Schaft gevonden,0
"Weerbericht: Dag begint bewolkt, 's middags opklaringen in deel van het land",0
Kuipers geeft update over coronasituatie in ziekenhuizen,0
"RIVM meldt 4.610 positieve coronatests, minder dan gemiddeld (4.912)",0
Bij deur Woensdrechtse burgemeester ontploft object had kracht van granaat,0
Dertig jaar cel voor 'gewetenloze' liquidatie en serie aanslagen in Brabant,0
Ouders van vermoorde Laura Korsman willen onderzoek naar rol politie,0
Groningen uitgeroepen tot gezondste stad van Nederland,0
Tientallen treinen in regio Utrecht uitgevallen door zieke verkeersleider,0
Hof legt straffen tot vijftien jaar op voor doden oudere vrouw bij overval,0
Weerbericht: KNMI waarschuwt voor gladheid in hele land,0
"Eerste officiële vorst van het najaar gemeten: -0,2 graden in De Bilt",0
Aantal gemelde positieve tests (5.609) groter dan daggemiddelde (4.906),0
Aboutaleb: Burgemeesters in Veiligheidsberaad wilden verbod Black Friday,0
Weekweerbericht: Bewolking en kille temperaturen overheersen,0
Vuurwerkbom bij huis burgemeester Woensdrecht mogelijk bewuste aanval,0
Fotoalbum met kinderfoto's van verzetsheldin Hannie Schaft gevonden,0
"Weerbericht: Dag begint bewolkt, 's middags opklaringen in deel van het land",0
Kuipers geeft update over coronasituatie in ziekenhuizen,0
"RIVM meldt 4.610 positieve coronatests, minder dan gemiddeld (4.912)",0
Bij deur Woensdrechtse burgemeester ontploft object had kracht van granaat,0
Dertig jaar cel voor 'gewetenloze' liquidatie en serie aanslagen in Brabant,0
Ouders van vermoorde Laura Korsman willen onderzoek naar rol politie,0
Groningen uitgeroepen tot gezondste stad van Nederland,0
Tientallen treinen in regio Utrecht uitgevallen door zieke verkeersleider,0
Hof legt straffen tot vijftien jaar op voor doden oudere vrouw bij overval,0
Weerbericht: KNMI waarschuwt voor gladheid in hele land,0
"Eerste officiële vorst van het najaar gemeten: -0,2 graden in De Bilt",0
Aantal gemelde positieve tests (5.609) groter dan daggemiddelde (4.906),0
Aboutaleb: Burgemeesters in Veiligheidsberaad wilden verbod Black Friday,0
Weekweerbericht: Bewolking en kille temperaturen overheersen,0
Vuurwerkbom bij huis burgemeester Woensdrecht mogelijk bewuste aanval,0
Fotoalbum met kinderfoto's van verzetsheldin Hannie Schaft gevonden,0
"Weerbericht: Dag begint bewolkt, 's middags opklaringen in deel van het land",0
Auto met vijf inzittenden rijdt door hek en raakt te water in Nieuw-Vennep,0
"ME maakt einde aan onrust op Urk, politie bekogeld met zwaar vuurwerk",0
KNMI waarschuwt voor verkeersbelemmerende mist in delen van het land,0
Tientallen lopen mee met stille tocht voor aangereden Wijchenaar,0
"Vogelgriep vastgesteld bij pluimveelocatie in Mijdrecht, 300 dieren geruimd",0
"Rotterdam en Eindhoven sluiten winkels eerder, ook drukte in andere steden",0
"Politieactie tegen vuurwerkoverlast in Helmond, negen aanhoudingen",0
"Agenten belaagd bij illegaal feest in Den Haag, twee personen opgepakt",0
Gemeenten roepen op niet naar winkelgebieden te komen,0
'Aantal meldingen van discriminatie op universiteiten in 2 jaar verdubbeld',0
"Weerbericht: Grijs in het noorden, zonnig in het zuiden",0
Preventief fouilleren en brieven aan ouders in strijd tegen vuurwerkoverlast,0
Eeuwenoud ridderzwaard gevonden bij opgraving in Nieuwegein,0
'Rutte probeerde onderzoek naar steun Syrische rebellen tegen te houden',0
Drone roept winkelend publiek op naar huis te gaan in Rotterdam,0
Plan fiscus: elke vordering vanaf 3.000 euro al het label Opzet/Grove Schuld,0
Auto met vijf inzittenden rijdt door hek en raakt te water in Nieuw-Vennep,0
"ME maakt einde aan onrust op Urk, politie bekogeld met zwaar vuurwerk",0
KNMI waarschuwt voor verkeersbelemmerende mist in delen van het land,0
Tientallen lopen mee met stille tocht voor aangereden Wijchenaar,0
"Vogelgriep vastgesteld bij pluimveelocatie in Mijdrecht, 300 dieren geruimd",0
"Rotterdam en Eindhoven sluiten winkels eerder, ook drukte in andere steden",0
"Politieactie tegen vuurwerkoverlast in Helmond, negen aanhoudingen",0
"Agenten belaagd bij illegaal feest in Den Haag, twee personen opgepakt",0
Gemeenten roepen op niet naar winkelgebieden te komen,0
'Aantal meldingen van discriminatie op universiteiten in 2 jaar verdubbeld',0
"Weerbericht: Grijs in het noorden, zonnig in het zuiden",0
Preventief fouilleren en brieven aan ouders in strijd tegen vuurwerkoverlast,0
Eeuwenoud ridderzwaard gevonden bij opgraving in Nieuwegein,0
'Rutte probeerde onderzoek naar steun Syrische rebellen tegen te houden',0
Drone roept winkelend publiek op naar huis te gaan in Rotterdam,0
Plan fiscus: elke vordering vanaf 3.000 euro al het label Opzet/Grove Schuld,0
Auto met vijf inzittenden rijdt door hek en raakt te water in Nieuw-Vennep,0
"ME maakt einde aan onrust op Urk, politie bekogeld met zwaar vuurwerk",0
KNMI waarschuwt voor verkeersbelemmerende mist in delen van het land,0
Tientallen lopen mee met stille tocht voor aangereden Wijchenaar,0
"Vogelgriep vastgesteld bij pluimveelocatie in Mijdrecht, 300 dieren geruimd",0
"Rotterdam en Eindhoven sluiten winkels eerder, ook drukte in andere steden",0
"Politieactie tegen vuurwerkoverlast in Helmond, negen aanhoudingen",0
"Agenten belaagd bij illegaal feest in Den Haag, twee personen opgepakt",0
Gemeenten roepen op niet naar winkelgebieden te komen,0
'Aantal meldingen van discriminatie op universiteiten in 2 jaar verdubbeld',0
"Weerbericht: Grijs in het noorden, zonnig in het zuiden",0
Preventief fouilleren en brieven aan ouders in strijd tegen vuurwerkoverlast,0
Eeuwenoud ridderzwaard gevonden bij opgraving in Nieuwegein,0
'Rutte probeerde onderzoek naar steun Syrische rebellen tegen te houden',0
Drone roept winkelend publiek op naar huis te gaan in Rotterdam,0
Plan fiscus: elke vordering vanaf 3.000 euro al het label Opzet/Grove Schuld,0
"Rotterdam sluit alle winkels om drukte, in andere steden waarschuwingen",0
Groninger aangehouden na tonen wapens in tv-programma Danny op straat,0
Diverse broodproducten Jumbo uit de schappen vanwege stukjes plastic,0
Weerbericht: 'Dit weekend mogelijk temperaturen onder de nul',0
"RIVM: Lager opgeleiden voelen coronacrisis het ergst, ook na de pandemie",0
Weekendweerbericht: Kans op de eerste officiële vorstdag van dit seizoen,0
Toezichthouder NZa: Inhaalslag van ziekenhuiszorg leek in oktober voorbij,0
Aantal gemelde positieve tests (5.790) groter dan daggemiddelde (5.101),0
'Schouten wacht af of Kamer oud-circusolifant in Nederland wil houden',0
Oud-leerlinge Emmauscollege eist einde vervolging in spotprentzaak,0
Europese FVD-fractie: Baudet en Jansen deden antisemitische en racistische uitspraken,0
"Deze (snel)wegen, treinstations en trajecten in jouw buurt worden aangepakt",0
Syriëganger Angela B. meldt zich bij consulaat in Turkije,0
Weerbericht: Bewolkt met in het zuiden kans op zon,0
Nederland blijft 'coronamiddel' remdesivir gebruiken ondanks afraden WHO,0
"CBS: Oversterfte neemt af, minder extra sterfgevallen in tweede coronagolf",0
"Rotterdam sluit alle winkels om drukte, in andere steden waarschuwingen",0
Groninger aangehouden na tonen wapens in tv-programma Danny op straat,0
Diverse broodproducten Jumbo uit de schappen vanwege stukjes plastic,0
Weerbericht: 'Dit weekend mogelijk temperaturen onder de nul',0
"RIVM: Lager opgeleiden voelen coronacrisis het ergst, ook na de pandemie",0
Weekendweerbericht: Kans op de eerste officiële vorstdag van dit seizoen,0
Toezichthouder NZa: Inhaalslag van ziekenhuiszorg leek in oktober voorbij,0
Aantal gemelde positieve tests (5.790) groter dan daggemiddelde (5.101),0
'Schouten wacht af of Kamer oud-circusolifant in Nederland wil houden',0
Oud-leerlinge Emmauscollege eist einde vervolging in spotprentzaak,0
Europese FVD-fractie: Baudet en Jansen deden antisemitische en racistische uitspraken,0
"Deze (snel)wegen, treinstations en trajecten in jouw buurt worden aangepakt",0
Syriëganger Angela B. meldt zich bij consulaat in Turkije,0
Weerbericht: Bewolkt met in het zuiden kans op zon,0
Nederland blijft 'coronamiddel' remdesivir gebruiken ondanks afraden WHO,0
"CBS: Oversterfte neemt af, minder extra sterfgevallen in tweede coronagolf",0
"Rotterdam sluit alle winkels om drukte, in andere steden waarschuwingen",0
Groninger aangehouden na tonen wapens in tv-programma Danny op straat,0
Diverse broodproducten Jumbo uit de schappen vanwege stukjes plastic,0
Weerbericht: 'Dit weekend mogelijk temperaturen onder de nul',0
"RIVM: Lager opgeleiden voelen coronacrisis het ergst, ook na de pandemie",0
Weekendweerbericht: Kans op de eerste officiële vorstdag van dit seizoen,0
Toezichthouder NZa: Inhaalslag van ziekenhuiszorg leek in oktober voorbij,0
Aantal gemelde positieve tests (5.790) groter dan daggemiddelde (5.101),0
'Schouten wacht af of Kamer oud-circusolifant in Nederland wil houden',0
Oud-leerlinge Emmauscollege eist einde vervolging in spotprentzaak,0
Europese FVD-fractie: Baudet en Jansen deden antisemitische en racistische uitspraken,0
"Deze (snel)wegen, treinstations en trajecten in jouw buurt worden aangepakt",0
Syriëganger Angela B. meldt zich bij consulaat in Turkije,0
Weerbericht: Bewolkt met in het zuiden kans op zon,0
Nederland blijft 'coronamiddel' remdesivir gebruiken ondanks afraden WHO,0
"CBS: Oversterfte neemt af, minder extra sterfgevallen in tweede coronagolf",0
Alle verdachten fatale mishandeling Arnhem onder voorwaarden vrijgelaten,0
DNA en reisbeweging koppelt verdachte aan liquidatie in bijzijn kind,0
Rutte over toeslagenaffaire: 'Bal die richting ravijn rolde',0
Verdachte van fatale aanrijding in Wijchen was aan het werk als pakketbezorger,0
Koninklijke familie viert Koningsdag volgend jaar in Eindhoven,0
Celstraffen tot vijftien jaar voor reeks aanslagen in Oss,0
"Nederland passeert grens van half miljoen positieve tests, RIVM ziet daling stagneren",0
Celstraffen voor relschoppen tijdens coronademonstratie,0
Acht aanhoudingen tijdens 'relatief rustige' nacht in Roosendaal,0
OM eist tot tien jaar cel en tbs tegen 'roofdieren' voor seksuele uitbuiting,0
"Weerbericht: Regen in midden van het land, opklaringen in zuiden en noorden",0
CBS: Sterfte tijdens eerste coronagolf in zuiden acht keer hoger dan in noorden,0
Zwaargewonde door brand in seniorencomplex Capelle aan den IJssel,0
"Nog meer FVD-prominenten kritisch op Baudet, senator schrijft brandbrief",0
"Noodverordening in delen Roosendaal vanwege vuurwerkoverlast, 7 arrestaties",0
Eerste levering CureVac-vaccins in eerste kwartaal van 2021 verwacht,0
Alle verdachten fatale mishandeling Arnhem onder voorwaarden vrijgelaten,0
DNA en reisbeweging koppelt verdachte aan liquidatie in bijzijn kind,0
Rutte over toeslagenaffaire: 'Bal die richting ravijn rolde',0
Verdachte van fatale aanrijding in Wijchen was aan het werk als pakketbezorger,0
Koninklijke familie viert Koningsdag volgend jaar in Eindhoven,0
Celstraffen tot vijftien jaar voor reeks aanslagen in Oss,0
"Nederland passeert grens van half miljoen positieve tests, RIVM ziet daling stagneren",0
Celstraffen voor relschoppen tijdens coronademonstratie,0
Acht aanhoudingen tijdens 'relatief rustige' nacht in Roosendaal,0
OM eist tot tien jaar cel en tbs tegen 'roofdieren' voor seksuele uitbuiting,0
"Weerbericht: Regen in midden van het land, opklaringen in zuiden en noorden",0
CBS: Sterfte tijdens eerste coronagolf in zuiden acht keer hoger dan in noorden,0
Zwaargewonde door brand in seniorencomplex Capelle aan den IJssel,0
"Nog meer FVD-prominenten kritisch op Baudet, senator schrijft brandbrief",0
"Noodverordening in delen Roosendaal vanwege vuurwerkoverlast, 7 arrestaties",0
Eerste levering CureVac-vaccins in eerste kwartaal van 2021 verwacht,0
Alle verdachten fatale mishandeling Arnhem onder voorwaarden vrijgelaten,0
DNA en reisbeweging koppelt verdachte aan liquidatie in bijzijn kind,0
Rutte over toeslagenaffaire: 'Bal die richting ravijn rolde',0
Verdachte van fatale aanrijding in Wijchen was aan het werk als pakketbezorger,0
Koninklijke familie viert Koningsdag volgend jaar in Eindhoven,0
Celstraffen tot vijftien jaar voor reeks aanslagen in Oss,0
"Nederland passeert grens van half miljoen positieve tests, RIVM ziet daling stagneren",0
Celstraffen voor relschoppen tijdens coronademonstratie,0
Acht aanhoudingen tijdens 'relatief rustige' nacht in Roosendaal,0
OM eist tot tien jaar cel en tbs tegen 'roofdieren' voor seksuele uitbuiting,0
"Weerbericht: Regen in midden van het land, opklaringen in zuiden en noorden",0
CBS: Sterfte tijdens eerste coronagolf in zuiden acht keer hoger dan in noorden,0
Zwaargewonde door brand in seniorencomplex Capelle aan den IJssel,0
"Nog meer FVD-prominenten kritisch op Baudet, senator schrijft brandbrief",0
"Noodverordening in delen Roosendaal vanwege vuurwerkoverlast, 7 arrestaties",0
Eerste levering CureVac-vaccins in eerste kwartaal van 2021 verwacht,0
RIVM: Start vaccinatie corona 'waarschijnlijk niet' voor einde van het jaar,0
OM: Wij denken daders van liquidatie Omar Essalih in Amsterdam op beeld te zien,0
Opvolgers Forum-parlementariërs Hiddema en Cliteur worden snel bekend,0
Rechtbank wijst onderzoek naar alternatieve scenario's crash MH17 af,0
"RIVM meldt 4.947 positieve tests, minder dan gemiddelde van afgelopen week",0
Veroorzaker dodelijke aanrijding in Wijchen is achttienjarige man uit Woerden,0
"Constructies grote gebouwen niet altijd veilig, OVV adviseert keuring",0
"Twee gewonden bij woningbrand in Hedel, politie vermoedt brandstichting",0
Cel- en taakstraffen voor relschoppen bij demonstratie tegen coronabeleid,0
Poederbrief bezorgd bij ziekenhuis in Hoofddorp,0
"Opnieuw ongeregeldheden in Roosendaal, vijf personen aangehouden",0
Explosief aangetroffen in portiek in centrum van Amsterdam,0
"Weerbericht: Dag begint met zon, later vanuit het westen bewolking",0
Automobilist opgepakt wegens doorrijden na fatale aanrijding in Wijchen,0
Gemeente Den Haag: Geen vreugdevuren dit jaar vanwege coronamaatregelen,0
Ook OM gaat in hoger beroep in zaak-Nicky Verstappen,0
RIVM: Start vaccinatie corona 'waarschijnlijk niet' voor einde van het jaar,0
OM: Wij denken daders van liquidatie Omar Essalih in Amsterdam op beeld te zien,0
Opvolgers Forum-parlementariërs Hiddema en Cliteur worden snel bekend,0
Rechtbank wijst onderzoek naar alternatieve scenario's crash MH17 af,0
"RIVM meldt 4.947 positieve tests, minder dan gemiddelde van afgelopen week",0
Veroorzaker dodelijke aanrijding in Wijchen is achttienjarige man uit Woerden,0
"Constructies grote gebouwen niet altijd veilig, OVV adviseert keuring",0
"Twee gewonden bij woningbrand in Hedel, politie vermoedt brandstichting",0
Cel- en taakstraffen voor relschoppen bij demonstratie tegen coronabeleid,0
Poederbrief bezorgd bij ziekenhuis in Hoofddorp,0
"Opnieuw ongeregeldheden in Roosendaal, vijf personen aangehouden",0
Explosief aangetroffen in portiek in centrum van Amsterdam,0
"Weerbericht: Dag begint met zon, later vanuit het westen bewolking",0
Automobilist opgepakt wegens doorrijden na fatale aanrijding in Wijchen,0
Gemeente Den Haag: Geen vreugdevuren dit jaar vanwege coronamaatregelen,0
Ook OM gaat in hoger beroep in zaak-Nicky Verstappen,0
Zeesluis in IJmuiden zal niet Sluisje McSluisface maar Zeesluis IJmuiden heten,0
"Alle leeftijdsgroepen testen minder vaak positief, behalve scholieren",0
De Jonge: Ook na half januari niet op niveau van versoepelingen,0
"Dinsdag 3.979 positieve tests, minder dan gemiddelde van afgelopen week",0
Groningers mogen onterecht uitgekeerde schadevergoeding houden,0
Half jaar cel voor bejaarde zussen die slachtoffers misbruik wilden omkopen,0
Baudet en Forum voor Democratie geven verklaring bij partijkantoor,0
"Bijna evenveel positieve tests als voorgaande week (36.391), R weer boven de 1",0
"Advies OMT: Geen versoepeling in december, mogelijk langere kerstvakantie",0
OM: Verdachte van fatale steekpartij Scheveningen had messen in zijn handen,0
"Vuurwerkoverlast en onrust in Arnhem, brand in kerkje in Roosendaal",0
Minister bezorgd over eenzaamheid onder studenten: 'Kijk naar elkaar om',0
Deze coronavaccins wil Nederland gaan gebruiken (en dit zijn de verschillen),0
Weerbericht: Grijs met vanuit het zuiden kans op zon,0
Waarom ook het bezit van vuurwerk beboet wordt rond Oud en Nieuw,0
Geen landelijk verbod op carbidschieten tijdens jaarwisseling,0
Zeesluis in IJmuiden zal niet Sluisje McSluisface maar Zeesluis IJmuiden heten,0
"Alle leeftijdsgroepen testen minder vaak positief, behalve scholieren",0
De Jonge: Ook na half januari niet op niveau van versoepelingen,0
"Dinsdag 3.979 positieve tests, minder dan gemiddelde van afgelopen week",0
Groningers mogen onterecht uitgekeerde schadevergoeding houden,0
Half jaar cel voor bejaarde zussen die slachtoffers misbruik wilden omkopen,0
Baudet en Forum voor Democratie geven verklaring bij partijkantoor,0
"Bijna evenveel positieve tests als voorgaande week (36.391), R weer boven de 1",0
"Advies OMT: Geen versoepeling in december, mogelijk langere kerstvakantie",0
OM: Verdachte van fatale steekpartij Scheveningen had messen in zijn handen,0
"Vuurwerkoverlast en onrust in Arnhem, brand in kerkje in Roosendaal",0
Minister bezorgd over eenzaamheid onder studenten: 'Kijk naar elkaar om',0
Deze coronavaccins wil Nederland gaan gebruiken (en dit zijn de verschillen),0
Weerbericht: Grijs met vanuit het zuiden kans op zon,0
Waarom ook het bezit van vuurwerk beboet wordt rond Oud en Nieuw,0
Geen landelijk verbod op carbidschieten tijdens jaarwisseling,0
Zeesluis in IJmuiden zal niet Sluisje McSluisface maar Zeesluis IJmuiden heten,0
"Alle leeftijdsgroepen testen minder vaak positief, behalve scholieren",0
De Jonge: Ook na half januari niet op niveau van versoepelingen,0
"Dinsdag 3.979 positieve tests, minder dan gemiddelde van afgelopen week",0
Groningers mogen onterecht uitgekeerde schadevergoeding houden,0
